Id,primary_use,processor_brand,price,capacity,ram,touchscreen,size,resolution,weight
393,20,1,610,512,8,0,15.6,1080,3.97
398,20,1,590,256,8,0,15.6,1080,4.25
408,20,3,424,512,8,0,15.6,1080,2.71
416,20,3,324,256,8,0,14,720,3.97
422,20,1,439,512,8,0,15.6,1080,3.17
434,20,1,974,512,8,0,14.96,1080,5.51
441,20,3,374,256,8,0,15.6,1080,3.97
443,20,3,427,512,8,0,14.1,1080,3.92
444,20,1,579,1000,8,0,15.6,1080,4.01
447,20,3,299,256,8,0,14,1080,3.26
448,20,3,399,512,8,0,14,1080,3.26
449,20,3,299,256,8,0,14,1080,3.26
451,20,3,299,256,8,0,14,1080,3.26
464,20,3,470,256,8,0,15.6,1080,3.64
467,20,3,424,256,8,0,15.6,1080,4.08
468,20,3,440,256,4,0,14,1080,3.48
470,20,1,489,512,8,0,14,1080,3.48
472,20,3,357,1000,8,0,15.6,768,3.97
482,20,3,720,1000,8,0,15,1080,4.01
485,20,3,430,256,8,0,15.6,768,3.97
486,20,3,489,256,8,0,15.6,1080,4.01
489,20,3,399,1000,8,0,15.6,1080,3.81
501,20,3,299,1000,4,0,15.6,1080,4.08
503,20,3,510,256,8,0,15.6,1080,4.08
515,20,1,920,512,8,0,15.6,720,3.7
517,20,3,387,256,4,0,12,1080,4.32
518,20,1,385,256,4,0,15.6,768,4.19
519,20,3,510,256,4,0,15.6,1080,4.39
520,20,3,425,256,8,0,15.6,1080,4.08
521,20,3,429,256,8,0,15.6,1080,5.07
526,20,3,659,512,16,0,15.6,1080,4.72
528,20,3,710,256,8,0,15.6,1080,4.08
531,20,3,419,256,8,0,14,1080,3.48
535,20,3,413,256,8,0,14.96,1080,4.08
537,20,3,468,256,8,0,15.6,1080,4.08
538,20,1,384,256,4,0,15.6,768,4.03
540,20,3,444,256,8,0,15.6,1080,4.08
541,20,1,424,256,8,0,15.6,1080,4.03
544,20,3,619,512,8,0,14,1080,3.48
546,20,3,610,256,8,0,14,1080,3.48
548,20,3,484,256,8,0,15.6,1080,4.08
585,20,3,519,256,8,0,15.6,1080,4.59
587,20,1,385,256,4,0,15.6,768,4.19
606,20,1,449,512,8,0,15.6,1080,4.19
